GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Mon Apr 27 14:53:01 CEST 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	f1	fsn	g	delay	delta0_car	delta0_aor
1	1	1	8.383515022692503	0.0046	0.041	0.66	0.0	0.4	0.4	Initial point.
9	2	1	2.9516514173818527	0.0056	0.031	0.76	0.0	0.3	0.5	Global search reduced cost.
15	3	1	1.1711481671572963	0.0066	0.021	0.76	0.0	0.2	0.6	Global search reduced cost.
15	4	1	1.1711481671572963	0.0066	0.021	0.76	0.0	0.2	0.6	Iteration step did not reduce cost. Reduce step size to '0.5'.
45	5	1	1.134536060441777	0.0066	0.021	0.76	0.0	0.2	0.65	Global search reduced cost.
56	6	1	1.1317583182308064	0.0071	0.021	0.71	0.0	0.2	0.65	Global search reduced cost.
71	7	1	1.1317323358757345	0.0071	0.021	0.76	0.0	0.2	0.65	Local search reduced cost.
80	8	1	1.131677936138912	0.0071	0.021	0.86	0.0	0.2	0.65	Global search reduced cost.
80	9	1	1.131677936138912	0.0071	0.021	0.86	0.0	0.2	0.65	Iteration step did not reduce cost. Reduce step size to '0.25'.
93	10	1	1.13110577921158	0.00685	0.021	0.885	0.0	0.2	0.65	Global search reduced cost.
93	11	1	1.13110577921158	0.00685	0.021	0.885	0.0	0.2	0.65	Iteration step did not reduce cost. Reduce step size to '0.125'.
115	12	1	1.1116539361177167	0.006975	0.021	0.8975	0.0	0.2125	0.65	Global search reduced cost.
115	13	1	1.1116539361177167	0.006975	0.021	0.8975	0.0	0.2125	0.65	Iteration step did not reduce cost. Reduce step size to '0.0625'.
137	14	1	1.1103963332321263	0.006975	0.021625	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
147	15	1	1.1098851172646191	0.0070375	0.021625	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
151	16	1	1.1092535241949828	0.0071625	0.02225	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
161	17	1	1.1078932539405497	0.00735	0.02225	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
172	18	1	1.1068972053944997	0.007475	0.022875	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
181	19	1	1.1058812492829584	0.0076625	0.0235	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
191	20	1	1.1043810364614541	0.0079125	0.024125	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
201	21	1	1.102563351889261	0.008225	0.02475	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
210	22	1	1.1011690095174946	0.0085375	0.025375	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
223	23	1	1.1001234804820126	0.0087875	0.026	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
232	24	1	1.0991919276401976	0.0090375	0.026625	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
243	25	1	1.0983682720359955	0.0092875	0.02725	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
255	26	1	1.0976472344279364	0.009475	0.027875	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
266	27	1	1.0969896450077319	0.009725	0.0285	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
275	28	1	1.0964367386289213	0.009975	0.029125	0.8975	0.0	0.2125	0.64375	Global search reduced cost.
275	29	1	1.0964367386289213	0.009975	0.029125	0.8975	0.0	0.2125	0.64375	Iteration step did not reduce cost. Reduce step size to '0.03125'.
290	30	1	1.0959633427919473	0.009975	0.029125	0.8975	0.0	0.209375	0.64375	Global search reduced cost.
299	31	1	1.0959606635166101	0.00994375	0.029125	0.8975	0.0	0.209375	0.64375	Global search reduced cost.
299	32	1	1.0959606635166101	0.00994375	0.029125	0.8975	0.0	0.209375	0.64375	Iteration step did not reduce cost. Reduce step size to '0.015625'.
313	33	1	1.0957537841304166	0.009959375	0.02928125	0.8990625	0.0	0.2109375	0.64375	Global search reduced cost.
322	34	1	1.0957157625240213	0.009975	0.02928125	0.8990625	0.0	0.2109375	0.64375	Local search reduced cost.
337	35	1	1.095688928917883	0.009990625	0.02928125	0.8990625	0.0	0.2109375	0.6453125	Global search reduced cost.
337	36	1	1.095688928917883	0.009990625	0.02928125	0.8990625	0.0	0.2109375	0.6453125	Iteration step did not reduce cost. Maximum number of step reductions reached.
337	36	1	1.095688928917883	0.009990625	0.02928125	0.8990625	0.0	0.2109375	0.6453125	Minimum point.
