GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Dec 14 10:08:44 CET 2021

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	settings.heart_vntr_D_A_maxAct	settings.heart_vntr_D_0_maxAct	settings.heart_vntr_TS_maxAct	settings.heart_vntr_TR_maxAct	settings.eta_vc	settings.baro_f1	settings.tissues_eta_Ra	settings.tissues_eta_Rv	settings.tissues_eta_C	settings.tissues_chi_Ra	settings.tissues_chi_Rv	settings.tissues_chi_C
1	1	1	1	1.8752275722251284	3400.005	0.001205	0.114774	0.0459769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Initial point.
2	2	1	1	1.865784624145629	3600.005	0.001205	0.114774	0.0459769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.heart_vntr_D_A_maxAct+dsettings.heart_vntr_D_A_maxAct.
3	2	2	1	1.8657692168343392	3600.005	0.001225	0.114774	0.0459769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
4	2	3	1	1.7828421677472779	3600.005	0.001225	0.124774	0.0459769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.heart_vntr_TS_maxAct+dsettings.heart_vntr_TS_maxAct.
5	2	4	1	1.680371784144985	3600.005	0.001225	0.124774	0.0559769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
6	2	5	1	1.6798692554079377	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.eta_vc+dsettings.eta_vc.
7	2	6	1	1.670385043338527	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.baro_f1+dsettings.baro_f1.
8	2	7	1	1.6727560115285094	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.545225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost not reduced at settings.tissues_eta_Ra+dsettings.tissues_eta_Ra.
9	2	8	1	1.6652074042080716	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.tissues_eta_Ra-dsettings.tissues_eta_Ra.
10	2	9	1	1.7102234354941683	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.80625	0.4508013	21.8125	16.84375	-0.09125	Cost not reduced at settings.tissues_eta_Rv+dsettings.tissues_eta_Rv.
11	2	10	1	1.6245700040927467	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4508013	21.8125	16.84375	-0.09125	Cost reduced     at settings.tissues_eta_Rv-dsettings.tissues_eta_Rv.
12	2	11	1	1.6036739458066636	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	21.8125	16.84375	-0.09125	Cost reduced     at settings.tissues_eta_C+dsettings.tissues_eta_C.
13	2	12	1	1.5591318159365541	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	22.8125	16.84375	-0.09125	Cost reduced     at settings.tissues_chi_Ra+dsettings.tissues_chi_Ra.
14	2	13	1	1.5475659326059872	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	22.8125	17.84375	-0.09125	Cost reduced     at settings.tissues_chi_Rv+dsettings.tissues_chi_Rv.
15	2	14	1	1.5467810910861322	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	22.8125	17.84375	-0.08125	Cost reduced     at settings.tissues_chi_C+dsettings.tissues_chi_C.
15	2	15	1	1.5467810910861322	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	22.8125	17.84375	-0.08125	Global search reduced cost.
16	3	1	1	1.325765395148005	3800.005	0.001245	0.134774	0.0659769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Exploration base, Delta = 1.0.
17	3	2	1	1.3115037266059641	4000.005	0.001245	0.134774	0.0659769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.heart_vntr_D_A_maxAct+dsettings.heart_vntr_D_A_maxAct.
18	3	3	1	1.3115059302921674	4000.005	0.001265	0.134774	0.0659769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.heart_vntr_D_0_maxAct+dsettings.heart_vntr_D_0_maxAct.
19	3	4	1	1.311508235246228	4000.005	0.001225	0.134774	0.0659769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.heart_vntr_D_0_maxAct-dsettings.heart_vntr_D_0_maxAct.
20	3	5	1	1.266221964699457	4000.005	0.001245	0.144774	0.0659769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.heart_vntr_TS_maxAct+dsettings.heart_vntr_TS_maxAct.
21	3	6	1	1.2797779418915967	4000.005	0.001245	0.144774	0.0759769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.heart_vntr_TR_maxAct+dsettings.heart_vntr_TR_maxAct.
22	3	7	1	1.3303802857753981	4000.005	0.001245	0.144774	0.0559769	0.3201054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.heart_vntr_TR_maxAct-dsettings.heart_vntr_TR_maxAct.
23	3	8	1	1.2631228185840286	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003528125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.eta_vc+dsettings.eta_vc.
24	3	9	1	1.2791751416685164	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003628125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.baro_f1+dsettings.baro_f1.
25	3	10	1	1.2553596035938885	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.245225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost reduced     at settings.baro_f1-dsettings.baro_f1.
26	3	11	1	1.283079975686995	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.145225	1.50625	0.4708013	23.8125	18.84375	-0.07125	Cost not reduced at settings.tissues_eta_Ra-dsettings.tissues_eta_Ra.
