GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Dec 14 10:08:44 CET 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.heart_vntr_D_A_maxAct	settings.heart_vntr_D_0_maxAct	settings.heart_vntr_TS_maxAct	settings.heart_vntr_TR_maxAct	settings.eta_vc	settings.baro_f1	settings.tissues_eta_Ra	settings.tissues_eta_Rv	settings.tissues_eta_C	settings.tissues_chi_Ra	settings.tissues_chi_Rv	settings.tissues_chi_C
1	1	1	1.8752275722251284	3400.005	0.001205	0.114774	0.0459769	0.3001054	0.003328125	3.445225	1.70625	0.4508013	21.8125	16.84375	-0.09125	Initial point.
15	2	1	1.5467810910861322	3600.005	0.001225	0.124774	0.0559769	0.3101054	0.003428125	3.345225	1.60625	0.4608013	22.8125	17.84375	-0.08125	Global search reduced cost.
33	3	1	1.1830574935715925	4000.005	0.001245	0.144774	0.0659769	0.3301054	0.003428125	3.345225	1.40625	0.4808013	23.8125	19.84375	-0.06125	Global search reduced cost.
55	4	1	1.0384003840689773	4200.005	0.001245	0.154774	0.0659769	0.3401054	0.003428125	3.445225	1.20625	0.5108013	23.8125	20.84375	-0.03125	Global search reduced cost.
76	5	1	0.9949167124548188	4200.005	0.001245	0.164774	0.0659769	0.3501054	0.003428125	3.545225	1.10625	0.5408013	22.8125	20.84375	0.00875	Global search reduced cost.
94	6	1	0.9369831650500654	4000.005	0.001265	0.164774	0.0659769	0.3501054	0.003328125	3.745225	1.10625	0.5708013	20.8125	20.84375	0.03875	Global search reduced cost.
113	7	1	0.8294201520183253	3600.005	0.001265	0.164774	0.0659769	0.3401054	0.003128125	3.845225	1.10625	0.6108013	19.8125	20.84375	0.05875	Global search reduced cost.
133	8	1	0.8127256095267897	3200.005	0.001245	0.164774	0.0659769	0.3201054	0.003028125	3.845225	1.10625	0.6408013	19.8125	20.84375	0.06875	Global search reduced cost.
153	9	1	0.7903282930262497	2800.005	0.001225	0.164774	0.0659769	0.2901054	0.002928125	3.745225	1.10625	0.6808013	20.8125	19.84375	0.06875	Global search reduced cost.
167	10	1	0.7884778921050636	2600.005	0.001205	0.164774	0.0659769	0.2701054	0.002928125	3.745225	1.10625	0.7208013	21.8125	18.84375	0.06875	Global search reduced cost.
190	11	1	0.7780136208891907	2600.005	0.001165	0.164774	0.0659769	0.2601054	0.002928125	3.845225	1.20625	0.7708013	22.8125	17.84375	0.06875	Global search reduced cost.
209	12	1	0.764842700803247	2800.005	0.001125	0.164774	0.0659769	0.2601054	0.003028125	3.945225	1.40625	0.8308013	23.8125	16.84375	0.06875	Global search reduced cost.
243	13	1	0.760378781271297	2800.005	0.001145	0.164774	0.0659769	0.2701054	0.003028125	3.945225	1.50625	0.8408013	23.8125	17.84375	0.06875	Local search reduced cost.
267	14	1	0.7521307813542082	2800.005	0.001145	0.164774	0.0659769	0.2901054	0.003028125	3.945225	1.70625	0.8508013	23.8125	18.84375	0.07875	Global search reduced cost.
282	15	1	0.7430644556110133	3000.005	0.001145	0.164774	0.0659769	0.3101054	0.003028125	3.945225	2.00625	0.8708013	23.8125	19.84375	0.08875	Global search reduced cost.
308	16	1	0.7348112534225668	3200.005	0.001145	0.164774	0.0659769	0.3301054	0.003028125	3.945225	2.30625	0.9008013	24.8125	19.84375	0.09875	Global search reduced cost.
330	17	1	0.7289020367749834	3400.005	0.001125	0.164774	0.0659769	0.3501054	0.003028125	3.945225	2.70625	0.9408013	25.8125	19.84375	0.11875	Global search reduced cost.
353	18	1	0.7243850378087273	3600.005	0.001105	0.164774	0.0659769	0.3601054	0.003028125	3.945225	3.10625	0.9808013	26.8125	19.84375	0.14875	Global search reduced cost.
368	19	1	0.7225477336785578	3400.005	0.001085	0.164774	0.0659769	0.3601054	0.003028125	3.945225	3.10625	0.9908013	26.8125	19.84375	0.14875	Local search reduced cost.
380	20	1	0.7216095651551713	3200.005	0.001065	0.164774	0.0659769	0.3601054	0.003028125	3.945225	3.10625	0.9908013	26.8125	19.84375	0.15875	Global search reduced cost.
383	21	1	0.7215966236164161	3200.005	0.001045	0.164774	0.0659769	0.3601054	0.003028125	3.945225	3.10625	0.9908013	26.8125	19.84375	0.16875	Global search reduced cost.
423	22	1	0.7214519621282312	3200.005	0.001005	0.164774	0.0659769	0.3501054	0.003028125	3.945225	3.20625	0.9908013	26.8125	20.84375	0.16875	Global search reduced cost.
