GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of Parametric algorithm
Start time: Tue Nov 10 22:19:39 CET 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.V_PV_init	settings.heart_R_vlv	settings.heart_R_LA	settings.heart_drive_D_0	settings.heart_drive_D_A	settings.heart_drive_D_A_actMax	settings.heart_drive_TS	settings.heart_drive_TR	settings.heart_drive_TR_maxAct	settings.heart_drive_atr_D_0	settings.heart_atr_D_A	settings.heart_vntr_xi_Vw	settings.heart_vntr_xi_AmRef	settings.heart_vntr_k_passive	settings.eta_vc	settings.tissues_eta_Ra	settings.tissues_eta_C	settings.veins_gamma	settings.pulm_C_PV	settings.pulm_C_PA	settings.pulm_R
1	1	1	3.4223765773697763	1.1117305500000002E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Initial point.
2	2	1	3.4223413426185436	1.00585145E-22	6250.0	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
3	3	1	2.263066158478443	1.0587910000000001E-22	6562.5	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
4	4	1	2.270870222527096	1.0587910000000001E-22	5937.5	4856000.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
5	5	1	2.6201081256844434	1.0587910000000001E-22	6250.0	5098800.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
6	6	1	2.3836009289529927	1.0587910000000001E-22	6250.0	4613200.0	13.54688	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
7	7	1	3.566525740786279	1.0587910000000001E-22	6250.0	4856000.0	14.224224	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
8	8	1	2.2770198799063257	1.0587910000000001E-22	6250.0	4856000.0	12.869536	2709.218	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
9	9	1	2.2284927819240514	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2844.6789	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
10	10	1	2.3349551588681168	1.0587910000000001E-22	6250.0	4856000.0	13.54688	2573.7571	9585.0	0.14	0.38	0.1106879	1.124015E7	5.1125E7	0.8033231	1.0843	17.75	0.1289172	2.545225	0.3421191	0.734375	3.2346389999999997E-7	3.95E-8	9613356.0	Function evaluation successful.
