Name     , value    , target   , cost     ,% tot, [val, target, weight], total = 1.159618e+01
BPs      ,1.303e+02 ,153    ,3.359e+00 , 29  , 130.33, 153   , , 153.0
BPd_mEx  ,9.397e+01 ,113    ,3.203e+00 , 28  , 93.9748, 113   , , 113.0
BPd_Ex   ,9.475e+01 ,82     ,1.984e+00 , 17  , 94.7533, 82    , , 82.0
BPd      ,9.214e+01 ,83     ,1.007e+00 , 09  , 92.1418, 83    , , 83.0
DP_RV_Ex ,7.830e+00 ,6      ,5.584e-01 , 05  , 7.8304, 6     , , 6.0
CO       ,6.301e+00 ,5.87   ,3.158e-01 , 03  , 6.3005, 5.87  , , 58.7
BPs_mEx  ,1.694e+02 ,163    ,2.497e-01 , 02  , 169.379, 163   , , 163.0
Ppv_Ex   ,2.101e+01 ,23     ,1.715e-01 , 01  , 21.0142, 23    , , 23.0
Ppad_mEx ,3.142e+01 ,37     ,1.683e-01 , 01  , 31.4199, 37    , , 7.4
Ppas_mEx ,5.009e+01 ,57     ,1.676e-01 , 01  , 50.089, 57    , , 11.4
ESV      ,4.711e+01 ,51     ,9.881e-02 , 01  , 47.1118, 51    , , 17.0
CO_Ex    ,1.121e+01 ,11.5   ,7.142e-02 , 01  , 11.2134, 11.5  , , 115.0
Ppad     ,1.591e+01 ,14     ,5.231e-02 , 00  , 15.9135, 14    , , 2.8
EDV      ,1.372e+02 ,133    ,4.512e-02 , 00  , 137.243, 133   , , 44.333
BPs_Ex   ,1.613e+02 ,159    ,3.410e-02 , 00  , 161.329, 159   , , 159.0
Ppas_Ex  ,4.447e+01 ,42     ,2.899e-02 , 00  , 44.4676, 42    , , 8.4
Ppv      ,1.360e+01 ,13     ,2.753e-02 , 00  , 13.5983, 13    , , 13.0
Ppv_mEx  ,2.422e+01 ,25     ,2.454e-02 , 00  , 24.2167, 25    , , 25.0
SP_RV_Ex ,4.700e+01 ,45     ,1.785e-02 , 00  , 47.0043, 45    , , 9.0
P_SRV    ,3.086e+01 ,32     ,8.169e-03 , 00  , 30.8567, 32    , , 6.4
Ppad_Ex  ,2.654e+01 ,26     ,2.204e-03 , 00  , 26.5353, 26    , , 5.2
Ppas     ,2.937e+01 ,29     ,9.694e-04 , 00  , 29.3749, 29    , , 5.8
P_sv     ,3.965e+00 ,4      ,3.059e-04 , 00  , 3.965, 4     , , 4.0
SP_RV_mEx,5.309e+01 ,45     ,0.000e+00 , 00  , 53.0942, 45    , , 0
DP_RV_mEx,9.360e+00 ,6      ,0.000e+00 , 00  , 9.3598, 6     , , 0
CO_mEx   ,1.377e+01 ,14.5   ,0.000e+00 , 00  , 13.7661, 14.5  , , 0
PWV      ,1.000e+01 ,>8     ,0.000e+00 , 00  , 10, >8    , , 0
