GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Tue Aug 03 22:41:43 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.pulm_C_PA	settings.heart_vntr_xi_AmRef	settings.syst_TPR	settings.syst_TR_frac	settings.heart_vntr_D_A	settings.syst_art_k_E	settings.V_PV_init	settings.chi_phi	settings.heart_R_vlv	settings.heart_R_LA	settings.tissues_chi_Ra	settings.tissues_chi_Rv
1	1	1	4.502980225940732	8.176795E-11	0.809375	4.51450912E8	6.5240192	1586.2368	1.2287703	8.24999E-5	0.254375	6397.1904	2035731.1	10.8125	2.84375	Initial point.
16	2	1	4.501986005956247	8.176795E-11	0.809375	4.5273824E8	6.5240192	1586.2368	1.2331733	8.24999E-5	0.254375	6397.1904	2052281.8	10.8125	2.84375	Global search reduced cost.
38	3	1	4.5018268643420445	8.176795E-11	0.809375	4.5273824E8	6.471742	1586.2368	1.2375762	8.24999E-5	0.254375	6397.1904	2052281.9	10.8125	2.84375	Global search reduced cost.
53	4	1	4.501826703250064	8.176795E-11	0.809375	4.5273824E8	6.4717417	1586.2368	1.2375761	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Global search reduced cost.
53	5	1	4.501826703250064	8.176795E-11	0.809375	4.5273824E8	6.4717417	1586.2368	1.2375761	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Iteration step did not reduce cost. Reduce step size to '0.5'.
106	6	1	4.501738616151821	8.176795E-11	0.809375	4.5273824E8	6.4717417	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Global search reduced cost.
127	7	1	4.5016691398292625	8.176795E-11	0.809375	4.5273824E8	6.4978805	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Global search reduced cost.
127	8	1	4.5016691398292625	8.176795E-11	0.809375	4.5273824E8	6.4978805	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Iteration step did not reduce cost. Reduce step size to '0.25'.
155	9	1	4.501063331083918	4.0888223E-11	0.809375	4.5273824E8	6.4978805	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Global search reduced cost.
182	10	1	4.50100095543978	4.088822E-11	0.809375	4.5273824E8	6.4848113	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Global search reduced cost.
182	11	1	4.50100095543978	4.088822E-11	0.809375	4.5273824E8	6.4848113	1586.2368	1.2353746	8.24999E-5	0.254375	6397.1904	2052282.0	10.8125	2.84375	Iteration step did not reduce cost. Reduce step size to '0.125'.
249	12	1	4.496446654018971	2.0448358E-11	0.809375	4.52899168E8	6.4848113	1586.2368	1.2353746	8.24999E-5	0.254375	5431.751	2054350.9	10.9375	2.78125	Global search reduced cost.
260	13	1	4.496103510771504	2.0448358E-11	0.809375	4.53060096E8	6.4848113	1586.2368	1.2353746	8.37499E-5	0.254375	5431.751	2054350.9	10.9375	2.78125	Local search reduced cost.
281	14	1	4.495875087493446	2.0448358E-11	0.809375	4.53381952E8	6.4848113	1586.2368	1.235925	8.37499E-5	0.254375	5431.751	2054350.9	10.9375	2.78125	Global search reduced cost.
310	15	1	4.492126113833645	2.0448358E-11	0.809375	4.53864736E8	6.4848113	1586.2368	1.2364753	8.37499E-5	0.254375	5431.751	2054350.9	11.0625	2.71875	Global search reduced cost.
329	16	1	4.488286240808205	2.0448358E-11	0.809375	4.54508448E8	6.4848113	1587.86	1.2364752	8.49999E-5	0.253125	5431.751	2056419.8	11.1875	2.59375	Global search reduced cost.
