GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Sat Sep 25 14:30:42 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.pulm_C_PA	settings.syst_TPR	settings.heart_vntr_xi_AmRef	settings.pulm_R	settings.syst_art_k_E	settings.heart_vntr_D_A	settings.V_PV_init	LVfunctionFraction
1	1	1	2.0600912257812434	1.635189E-8	1.28733296E8	1.0	1.019753E7	0.4402957	1298.533	0.0	1.0	Initial point.
11	2	1	1.9370315597381857	1.34597E-8	1.2744596E8	1.01	1.0699505E7	0.5402957	1248.533	1.0E-5	1.0	Global search reduced cost.
22	3	1	1.7819121248783785	1.34597E-8	1.24871288E8	1.01	1.1703455E7	0.7402957	1148.533	3.0E-5	1.0	Global search reduced cost.
32	4	1	1.6272341748166732	1.635189E-8	1.2100928E8	1.0	1.320938E7	1.0402957	1098.533	6.0E-5	1.0	Global search reduced cost.
43	5	1	1.388025381424408	1.635189E-8	1.15859936E8	0.98	1.521728E7	1.4402957	998.533	1.0E-4	1.0	Global search reduced cost.
53	6	1	1.0498355706634475	1.34597E-8	1.11997928E8	0.95	1.7727156E7	1.9402957	848.533	1.5E-4	1.0	Global search reduced cost.
66	7	1	0.8118063636829717	1.056751E-8	1.09423256E8	0.91	2.0739008E7	2.3402958	748.533	2.1E-4	0.95	Global search reduced cost.
76	8	1	0.6639448647251961	1.056751E-8	1.0813592E8	0.86	2.4252836E7	2.640296	698.533	2.8E-4	0.85	Global search reduced cost.
88	9	1	0.6193748097238095	1.34597E-8	1.0813592E8	0.82	2.7264688E7	2.8402963	698.533	3.6E-4	0.8	Global search reduced cost.
99	10	1	0.5981008359098613	1.635189E-8	1.09423256E8	0.79	2.9774564E7	2.9402966	748.533	4.5E-4	0.7	Global search reduced cost.
111	11	1	0.5781887255535666	1.635189E-8	1.11997928E8	0.77	3.1782464E7	2.940297	848.533	5.4E-4	0.65	Global search reduced cost.
122	12	1	0.5752893484613116	1.34597E-8	1.15859936E8	0.76	3.3288388E7	2.8402975	998.533	6.2E-4	0.55	Global search reduced cost.
139	13	1	0.48771142641316645	1.056751E-8	1.17147272E8	0.77	3.2786412E7	2.7402976	1048.533	6.2E-4	0.55	Local search reduced cost.
154	14	1	0.3496673272908357	7.67532E-9	1.19721944E8	0.79	3.178246E7	2.5402977	1098.533	6.3E-4	0.55	Global search reduced cost.
167	15	1	0.19319964065598924	7.67532E-9	1.23583952E8	0.82	3.0276532E7	2.2402978	1148.533	6.5E-4	0.6	Global search reduced cost.
179	16	1	0.0646268026160049	7.67532E-9	1.28733296E8	0.86	2.8770604E7	1.9402978	1148.533	6.8E-4	0.65	Global search reduced cost.
195	17	1	0.029717491449563333	7.67532E-9	1.32595304E8	0.89	2.7766652E7	1.5402977	1148.533	7.2E-4	0.75	Global search reduced cost.
220	18	1	0.02099860546450155	7.67532E-9	1.3388264E8	0.89	2.7766652E7	1.6402977	1098.533	7.3E-4	0.8	Local search reduced cost.
232	19	1	0.017854310739016256	1.056751E-8	1.36457312E8	0.89	2.7264676E7	1.7402977	1048.533	7.5E-4	0.85	Global search reduced cost.
249	20	1	0.013627451041469877	1.056751E-8	1.40319312E8	0.89	2.6260724E7	1.7402977	1048.533	7.7E-4	0.85	Global search reduced cost.
261	21	1	0.005842674238274506	7.67532E-9	1.42893984E8	0.88	2.4754796E7	1.8402977	1048.533	7.8E-4	0.85	Global search reduced cost.
277	22	1	0.003011237226207482	7.67532E-9	1.44181328E8	0.87	2.3248868E7	1.9402977	1048.533	8.0E-4	0.85	Global search reduced cost.
304	23	1	0.0028916484166760493	7.67532E-9	1.44181328E8	0.87	2.2746892E7	1.9402977	1048.533	8.0E-4	0.85	Local search reduced cost.
319	24	1	0.0027598772729741407	7.67532E-9	1.42894E8	0.87	2.2746892E7	1.9402977	1048.533	8.0E-4	0.85	Global search reduced cost.
319	25	1	0.0027598772729741407	7.67532E-9	1.42894E8	0.87	2.2746892E7	1.9402977	1048.533	8.0E-4	0.85	Iteration step did not reduce cost. Reduce step size to '0.5'.
339	26	1	0.0027594601139377703	7.67532E-9	1.42250336E8	0.87	2.2746892E7	1.9402977	1048.533	8.0E-4	0.85	Global search reduced cost.
339	27	1	0.0027594601139377703	7.67532E-9	1.42250336E8	0.87	2.2746892E7	1.9402977	1048.533	8.0E-4	0.85	Iteration step did not reduce cost. Reduce step size to '0.25'.
362	28	1	0.0025528510565288854	7.67532E-9	1.42572176E8	0.8725	2.2872386E7	1.9152977	1048.533	8.0E-4	0.85	Global search reduced cost.
380	29	1	0.0024274542179069315	8.398367E-9	1.42572176E8	0.8725	2.3123374E7	1.9152977	1048.533	7.975E-4	0.85	Global search reduced cost.
401	30	1	0.0024010378601248723	8.398367E-9	1.42250336E8	0.8725	2.3123374E7	1.9152977	1048.533	7.975E-4	0.85	Local search reduced cost.
428	31	1	0.0023706568310313558	8.398367E-9	1.41606656E8	0.8725	2.3123374E7	1.9152977	1048.533	7.975E-4	0.8375	Global search reduced cost.
450	32	1	0.0022387931143992307	8.398367E-9	1.41284816E8	0.8725	2.3123374E7	1.8902977	1048.533	7.975E-4	0.8375	Local search reduced cost.
468	33	1	0.002175805118714815	8.398367E-9	1.40641136E8	0.8725	2.299788E7	1.8652977	1048.533	8.0E-4	0.8375	Global search reduced cost.
490	34	1	0.0021732286481150635	8.398367E-9	1.40319296E8	0.8725	2.299788E7	1.8652977	1048.533	8.0E-4	0.8375	Local search reduced cost.
490	35	1	0.0021732286481150635	8.398367E-9	1.40319296E8	0.8725	2.299788E7	1.8652977	1048.533	8.0E-4	0.8375	Iteration step did not reduce cost. Reduce step size to '0.125'.
