GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Aug 30 11:25:49 CEST 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.heart_R_LA	settings.syst_art_k_E	settings.heart_vntr_D_0	settings.heart_vntr_D_A	settings.heart_vntr_TS	settings.heart_vntr_TR	settings.heart_vntr_D_A_maxAct	settings.heart_vntr_TS_maxAct	settings.heart_vntr_TR_maxAct	settings.heart_atr_D_0	settings.heart_atr_D_A	pulmonaryTriSeg.c_pa.Compliance	settings.pulm_R	systemic_TriSeg._R_SA	settings.V_PV_init	pulmonaryR_factor	venoconstrictionFactor	vasodilatationFactor
1	1	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 1.
2	2	1	167.79597595570473	1368533.1	0.5746707	42.3576	1321.9705	0.48203126	0.1034375	5059.38	0.10555525	0.1928519	2.7574182E7	3.7118404E7	2.622314E-8	3.2857012E7	5.115	-7.7265606E-4	73.20937	25.187496	5.95625	Generation 1.
3	3	1	1000.0	772708.6	0.1746707	139.2576	2521.9705	0.05203126	0.3134375	4859.38	0.02555525	0.1028519	1.6968726E7	5.159898E7	1.465438E-8	7.0003184E7	1.935	-9.82656E-4	15.309375	6.8874965	20.55625	Generation 1.
4	4	1	2105.3048901751163	1782300.1	0.3746707	79.5576	1021.9705	0.24203126	0.1934375	4859.38	0.01555525	0.1228519	1.9885226E7	1.5778604E7	4.936066E-8	1.10663184E8	2.135	-2.5265603E-4	44.009377	12.787497	16.85625	Generation 1.
5	5	1	531.0940536280482	987867.44	1.4746706	126.4576	2771.9705	0.28203127	0.2934375	4459.38	0.04555525	0.1428519	2.8104454E7	2.2637826E7	1.465438E-8	6.1469604E7	5.595	1.7734396E-4	75.00938	26.587496	7.75625	Generation 1.
6	6	1	367.0968620359188	574100.44	1.1746707	45.7576	2971.9705	0.41203126	0.4334375	4259.38	0.07555525	0.0128519	1.9354954E7	2.2637826E7	6.67138E-8	7.9540712E7	7.255	1.734396E-5	93.80937	5.9874964	27.05625	Generation 1.
7	7	1	6.6444949574913055E10	1534039.9	0.1746707	123.7576	1721.9705	0.09203126	0.3434375	4259.38	0.07555525	0.0228519	4242178.5	5.922034E7	2.043876E-8	6.799528E7	8.515	-2.9265604E-4	56.909374	11.287497	33.35625	Generation 1.
8	8	1	1000.0	1385083.8	0.6746707	75.7576	1171.9705	0.38203126	0.4534375	4259.38	0.05555525	0.1728519	2.6513636E7	1.1967926E7	5.803723E-8	4.7916272E7	9.995	-8.7265606E-4	55.709373	21.687496	25.15625	Generation 1.
9	9	1	1.0548291459378262E12	1666445.4	0.3746707	50.4576	2271.9705	0.20203125	0.3434375	4459.38	0.01555525	0.0928519	1.219627E7	4.2453352E7	1.465438E-8	7.6026888E7	7.175	4.8734396E-4	88.30937	22.487497	24.45625	Generation 1.
10	10	1	390.481879161667	325840.25	1.1746707	61.9576	2721.9705	0.33203125	0.4734375	4259.38	0.08555525	0.0428519	3446769.2	3.6356268E7	6.092942E-8	8.0042688E7	1.195	5.2734395E-4	2.909375	12.187496	25.35625	Generation 1.
11	11	1	1.2158964810879652E10	855462.0	0.5746707	149.0576	1421.9705	0.39203125	0.2334375	4659.38	0.05555525	0.0328519	3181632.8	4.0929084E7	5.225285E-8	8.0544664E7	7.795	-4.2265604E-4	74.20937	36.687496	37.85625	Generation 1.
12	12	1	5355203.785939865	540999.06	0.6746707	26.9576	1071.9705	0.34203127	0.3334375	4659.38	0.03555525	0.1828519	2.174118E7	6.6841696E7	1.754657E-8	1.9805654E7	4.495	6.5734395E-4	57.209373	24.287497	11.55625	Generation 1.
13	13	1	1480.0037773882573	259637.52	1.3746707	54.0576	1071.9705	0.18203126	0.2534375	4859.38	0.09555525	0.0828519	9544906.0	9681518.0	5.225285E-8	8260221.5	6.135	-6.4265606E-4	2.809375	26.987497	10.55625	Generation 1.
14	14	1	1.1115643156193857E11	342390.9	1.0746707	70.4576	1071.9705	0.12203126	0.3334375	4859.38	0.06555525	0.0728519	3711905.5	5.3885388E7	5.225285E-8	6.5485404E7	3.755	8.8734395E-4	65.20937	8.687496	16.85625	Generation 1.
15	15	1	6.70675688466826E12	1335431.8	0.0746707	132.1576	1271.9705	0.42203125	0.1634375	4459.38	0.04555525	0.1128519	1.6438453E7	3.1021318E7	5.225285E-8	1.0770098E7	9.595	-7.4265606E-4	2.209375	3.3874965	2.05625	Generation 1.
16	16	1	661.2429096164104	938215.4	1.2746707	193.8576	1371.9705	0.17203125	0.1034375	4859.38	0.01555525	0.1628519	2.253659E7	3.6356268E7	8.87E-9	8.6066392E7	2.155	8.8734395E-4	2.609375	28.387497	24.15625	Generation 1.
16	17	1	6.666571042515301	1600242.6	0.5746707	16.5576	1921.9705	0.32203126	0.4434375	5059.38	0.06555525	0.1128519	2.9165E7	4.6264032E7	1.934298E-10	4244419.0	1.015	1.4734396E-4	0.809375	3.8874965	1.85625	Generation 2.
17	18	1	1000.0	1385083.8	0.5746707	41.2576	1371.9705	0.47203127	0.1234375	5059.38	0.10555525	0.1928519	2.7574182E7	3.788054E7	2.622314E-8	3.1351086E7	4.935	-7.3265604E-4	70.00938	24.287497	5.75625	Generation 2.
18	19	1	1000.0	805809.94	0.1746707	134.9576	2471.9705	0.07203126	0.3034375	4859.38	0.02555525	0.1028519	1.7498998E7	5.0836848E7	1.465438E-8	6.8497256E7	2.075	-9.7265607E-4	17.909374	7.6874967	19.85625	Generation 2.
19	20	1	1315.3609223354874	1782300.1	0.3746707	76.7576	1071.9705	0.24203126	0.2034375	4859.38	0.01555525	0.1228519	2.0415498E7	1.7302876E7	4.6468468E-8	1.06145408E8	2.095	-2.3265604E-4	42.109375	12.387497	16.15625	Generation 2.
20	21	1	498.957898637156	1020968.8	1.4746706	121.5576	2721.9705	0.28203127	0.3034375	4459.38	0.04555525	0.1428519	2.8104454E7	2.339996E7	1.465438E-8	5.8959728E7	5.395	1.7734396E-4	71.70937	25.587496	7.45625	Generation 2.
21	22	1	335.90736842713363	607201.8	1.1746707	45.5576	2921.9705	0.41203126	0.4234375	4259.38	0.07555525	0.0228519	1.962009E7	2.339996E7	6.382161E-8	7.7532816E7	7.155	-2.265604E-5	92.90938	6.8874965	26.15625	Generation 2.
22	23	1	9.223175557859395E10	1484387.9	0.1746707	120.2576	1771.9705	0.10203126	0.3434375	4259.38	0.07555525	0.0228519	5037587.5	5.7696068E7	2.333095E-8	6.8497256E7	8.455	-2.8265605E-4	58.509377	11.087497	33.05625	Generation 2.
23	24	1	272.23016039757954	1368533.1	0.6746707	78.0576	1221.9705	0.38203126	0.4434375	4259.38	0.05555525	0.1728519	2.6513636E7	1.2730061E7	5.514504E-8	4.8418244E7	9.795	-8.2265603E-4	56.609375	21.887497	24.35625	Generation 2.
24	25	1	1.6080920651681973E12	1600242.6	0.3746707	50.9576	2271.9705	0.21203126	0.3534375	4459.38	0.01555525	0.0928519	1.1931134E7	4.2453352E7	1.754657E-8	7.6026888E7	6.915	4.8734396E-4	84.50938	21.987497	24.45625	Generation 2.
25	26	1	328.92658709735224	342390.9	1.1746707	61.2576	2721.9705	0.33203125	0.4734375	4259.38	0.08555525	0.0428519	4242178.5	3.5594132E7	6.092942E-8	8.0042688E7	1.455	5.0734397E-4	6.909375	11.887497	25.45625	Generation 2.
26	27	1	3.335966139582861E10	838911.3	0.5746707	145.1576	1471.9705	0.39203125	0.2434375	4659.38	0.05555525	0.0328519	3181632.8	4.0929084E7	5.225285E-8	8.0544664E7	7.495	-3.8265603E-4	71.00938	35.587498	37.25625	Generation 2.
