GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Fri Dec 10 14:38:22 CET 2021

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.V_PV_init	settings.heart_R_LA	settings.heart_R_vlv	settings.heart_vntr_D_0	settings.heart_vntr_D_A	settings.heart_vntr_TS	settings.heart_vntr_TR	settings.heart_atr_D_0	settings.heart_atr_D_A	heartComponent.aorticValve._Ron	settings.syst_TPR	settings.syst_TR_frac	settings.pulm_C_PA	settings.pulm_R	settings.syst_art_k_E
1	1	1	1.262832723538907	0.0	1655068.0	772351.5	4.85	890.0	0.3246875	0.403125	2.651364E7	7.6213568E7	797188.6	1.28733296E8	5.22771	1.635189E-8	1.019753E7	0.4402957	Initial point.
26	2	1	0.7619433243458771	0.0	1641738.0	755691.5	4.95	840.0	0.3146875	0.403125	2.6654192E7	7.5661416E7	807188.6	1.27451168E8	5.1807523	1.735189E-8	1.0161248E7	0.4502957	Global search reduced cost.
48	3	1	0.3983201471776348	0.0	1641738.0	755691.5	5.15	790.0	0.3046875	0.403125	2.6935296E7	7.5661416E7	827188.6	1.24886912E8	5.0868373	1.935189E-8	1.0088684E7	0.4602957	Global search reduced cost.
71	4	1	0.32919996933740153	0.0	1655068.0	772351.5	5.45	790.0	0.2846875	0.403125	2.7356952E7	7.6213568E7	857188.6	1.23604784E8	4.945965	2.235189E-8	9979838.0	0.4602957	Global search reduced cost.
92	5	1	0.28097126247870263	0.0	1681728.0	805671.5	5.85	790.0	0.2646875	0.403125	2.7638056E7	7.7317872E7	897188.6	1.23604784E8	4.805093	2.635189E-8	9834710.0	0.4602957	Global search reduced cost.
117	6	1	0.2627258039489648	0.0	1695058.0	855651.5	6.35	790.0	0.2446875	0.403125	2.7778608E7	7.8974328E7	947188.6	1.24886912E8	4.711179	2.935189E-8	9653300.0	0.4502957	Global search reduced cost.
161	7	1	0.2512245819471188	0.0	1681728.0	872311.5	6.45	790.0	0.2446875	0.403125	2.7638056E7	7.952648E7	957188.6	1.24886912E8	4.7581367	2.835189E-8	9617018.0	0.4502957	Local search reduced cost.
186	8	1	0.24053979990248664	0.0	1655068.0	905631.5	6.55	790.0	0.2446875	0.403125	2.7638056E7	8.0630784E7	977188.6	1.24886912E8	4.8520517	2.735189E-8	9544454.0	0.4502957	Global search reduced cost.
212	9	1	0.23391665219939567	0.0	1615078.0	938951.5	6.75	790.0	0.2446875	0.403125	2.7778608E7	8.1182936E7	1007188.6	1.24886912E8	4.899009	2.735189E-8	9435608.0	0.4502957	Global search reduced cost.
238	10	1	0.22538485293367694	0.0	1561758.0	955611.5	6.85	790.0	0.2446875	0.403125	2.8059712E7	8.1735088E7	1047188.6	1.24886912E8	4.8990088	2.735189E-8	9290480.0	0.4502957	Global search reduced cost.
