  BPs_val,  BPs_trg, %,    BPd_val,  BPd_trg, %,    EDV_val,  EDV_trg, %,    ESV_val,  ESV_trg, %,  ESV_la_val,ESV_la_trg, %,  EDV_la_val,EDV_la_trg, %,  Q_MV_f_val,Q_MV_f_trg, %,     CO_val,   CO_trg, %,    BPk_val,  BPk_trg, %,   Ppas_val, Ppas_trg, %,   Ppad_val, Ppad_trg, %,    Ppv_val,  Ppv_trg, %,    PWV_val,  PWV_trg, %  ,run, datetime, total_costs
1.465e+04,1.600e+04,03,  1.143e+04,1.067e+04,02,  1.488e-04,1.500e-04,00,  4.931e-05,6.000e-05,01,  3.369e-05,4.100e-05,00,  7.531e-05,8.700e-05,00,  1.793e+00,2.000e+00,00,  1.061e-04,9.600e-05,05,  3.135e+03,2.666e+03,01,  1.576e+03,2.773e+03,04,  1.163e+03,1.173e+03,00,  1.354e+03,1.067e+03,00,  4.166e+00,out limit,1281  ,001,2020-09-11 22:51:54, 2.821591e+01
1.469e+04,1.600e+04,03,  1.148e+04,1.067e+04,03,  1.484e-04,1.500e-04,00,  4.947e-05,6.000e-05,01,  3.364e-05,4.100e-05,00,  7.507e-05,8.700e-05,00,  1.789e+00,2.000e+00,00,  1.055e-04,9.600e-05,05,  3.140e+03,2.666e+03,01,  1.571e+03,2.773e+03,04,  1.160e+03,1.173e+03,00,  1.350e+03,1.067e+03,00,  4.166e+00,out limit,1282  ,002,2020-09-11 22:52:11, 2.820792e+01
1.470e+04,1.600e+04,03,  1.149e+04,1.067e+04,03,  1.485e-04,1.500e-04,00,  4.954e-05,6.000e-05,01,  3.366e-05,4.100e-05,00,  7.511e-05,8.700e-05,00,  1.789e+00,2.000e+00,00,  1.056e-04,9.600e-05,05,  3.137e+03,2.666e+03,01,  1.572e+03,2.773e+03,04,  1.160e+03,1.173e+03,00,  1.351e+03,1.067e+03,00,  4.166e+00,out limit,1282  ,003,2020-09-11 22:52:28, 2.820822e+01
1.468e+04,1.600e+04,03,  1.147e+04,1.067e+04,03,  1.483e-04,1.500e-04,00,  4.940e-05,6.000e-05,01,  3.362e-05,4.100e-05,00,  7.503e-05,8.700e-05,00,  1.789e+00,2.000e+00,00,  1.055e-04,9.600e-05,04,  3.142e+03,2.666e+03,01,  1.571e+03,2.773e+03,04,  1.159e+03,1.173e+03,00,  1.349e+03,1.067e+03,00,  4.166e+00,out limit,1282  ,004,2020-09-11 22:52:45, 2.820763e+01
1.476e+04,1.600e+04,03,  1.154e+04,1.067e+04,03,  1.497e-04,1.500e-04,00,  5.022e-05,6.000e-05,01,  3.384e-05,4.100e-05,00,  7.547e-05,8.700e-05,00,  1.792e+00,2.000e+00,00,  1.061e-04,9.600e-05,05,  3.160e+03,2.666e+03,02,  1.579e+03,2.773e+03,04,  1.166e+03,1.173e+03,00,  1.357e+03,1.067e+03,00,  4.166e+00,out limit,1281  ,005,2020-09-11 22:53:02, 2.821863e+01
1.460e+04,1.600e+04,04,  1.141e+04,1.067e+04,02,  1.469e-04,1.500e-04,00,  4.860e-05,6.000e-05,02,  3.343e-05,4.100e-05,00,  7.462e-05,8.700e-05,00,  1.786e+00,2.000e+00,00,  1.049e-04,9.600e-05,04,  3.124e+03,2.666e+03,01,  1.563e+03,2.773e+03,04,  1.153e+03,1.173e+03,00,  1.342e+03,1.067e+03,00,  4.166e+00,out limit,1282  ,006,2020-09-11 22:53:19, 2.819903e+01
1.603e+04,1.600e+04,00,  1.148e+04,1.067e+04,112,  1.617e-04,1.500e-04,12,  5.819e-05,6.000e-05,02,  4.220e-05,4.100e-05,00,  8.489e-05,8.700e-05,00,  1.833e+00,2.000e+00,01,  1.104e-04,9.600e-05,433,  3.290e+03,2.666e+03,106,  1.726e+03,2.773e+03,138,  1.296e+03,1.173e+03,11,  1.499e+03,1.067e+03,32,  4.924e+00,out limit,452  ,007,2020-09-11 22:53:38, 6.709214e-01
1.608e+04,1.600e+04,01,  1.151e+04,1.067e+04,119,  1.606e-04,1.500e-04,09,  5.684e-05,6.000e-05,05,  4.236e-05,4.100e-05,00,  8.447e-05,8.700e-05,00,  1.862e+00,2.000e+00,01,  1.107e-04,9.600e-05,442,  3.301e+03,2.666e+03,107,  1.722e+03,2.773e+03,136,  1.292e+03,1.173e+03,10,  1.495e+03,1.067e+03,30,  4.924e+00,out limit,440  ,008,2020-09-11 22:53:56, 6.889500e-01
1.598e+04,1.600e+04,00,  1.144e+04,1.067e+04,105,  1.627e-04,1.500e-04,14,  5.953e-05,6.000e-05,00,  4.204e-05,4.100e-05,00,  8.535e-05,8.700e-05,00,  1.805e+00,2.000e+00,02,  1.100e-04,9.600e-05,423,  3.279e+03,2.666e+03,105,  1.730e+03,2.773e+03,141,  1.301e+03,1.173e+03,12,  1.504e+03,1.067e+03,33,  4.924e+00,out limit,464  ,009,2020-09-11 22:54:15, 6.534924e-01
1.597e+04,1.600e+04,00,  1.143e+04,1.067e+04,102,  1.663e-04,1.500e-04,23,  6.325e-05,6.000e-05,06,  4.145e-05,4.100e-05,00,  8.482e-05,8.700e-05,00,  1.810e+00,2.000e+00,02,  1.099e-04,9.600e-05,417,  3.273e+03,2.666e+03,103,  1.721e+03,2.773e+03,143,  1.291e+03,1.173e+03,10,  1.495e+03,1.067e+03,32,  4.924e+00,out limit,463  ,010,2020-09-11 22:54:34, 6.553670e-01
1.599e+04,1.600e+04,00,  1.145e+04,1.067e+04,106,  1.591e-04,1.500e-04,07,  5.590e-05,6.000e-05,09,  4.266e-05,4.100e-05,00,  8.594e-05,8.700e-05,00,  1.797e+00,2.000e+00,02,  1.100e-04,9.600e-05,423,  3.283e+03,2.666e+03,106,  1.740e+03,2.773e+03,137,  1.312e+03,1.173e+03,14,  1.514e+03,1.067e+03,35,  4.924e+00,out limit,461  ,011,2020-09-11 22:54:53, 6.583474e-01
1.602e+04,1.600e+04,00,  1.147e+04,1.067e+04,111,  1.623e-04,1.500e-04,13,  5.893e-05,6.000e-05,01,  4.202e-05,4.100e-05,00,  8.487e-05,8.700e-05,00,  1.829e+00,2.000e+00,01,  1.103e-04,9.600e-05,432,  3.287e+03,2.666e+03,106,  1.725e+03,2.773e+03,139,  1.295e+03,1.173e+03,11,  1.498e+03,1.067e+03,32,  4.924e+00,out limit,455  ,012,2020-09-11 22:55:12, 6.673667e-01
