Name    , value    , target   , cost     ,% tot, [val, target, weight], total = 1.080577e-01
BPs     ,1.177e+02 ,120    ,4.312e-02 , 40  , 117.725, 120   , , 120.0
BPd     ,8.162e+01 ,80     ,3.289e-02 , 30  , 81.6222, 80    , , 80.0
Ts      ,2.795e-01 ,0.292  ,2.656e-02 , 25  , 0.2795, 0.292 , , 14.6
CO      ,5.808e+00 ,5.76   ,3.997e-03 , 04  , 5.808, 5.76  , , 57.6
ESV     ,5.968e+01 ,60     ,5.714e-04 , 01  , 59.6793, 60    , , 20.0
EDV     ,1.505e+02 ,150    ,5.261e-04 , 00  , 150.487, 150   , , 50.0
Ppv     ,8.051e+00 ,8      ,1.626e-04 , 00  , 8.051, 8     , , 4.0
ESV_la  ,1.191e+01 ,12     ,1.325e-04 , 00  , 11.9109, 12    , , 2.4
EDV_la  ,4.112e+01 ,41     ,6.925e-05 , 00  , 41.1191, 41    , , 8.2
Ppad    ,8.832e+00 ,8.8    ,2.288e-05 , 00  , 8.8317, 8.8   , , 1.76
Ppas    ,2.051e+01 ,20.5   ,2.157e-06 , 00  , 20.5149, 20.5  , , 4.1
dp_av   ,1.260e+00 ,>-5    ,0.000e+00 , 00  , 1.26, >-5   , , 50.0
Q_MV_f  ,5.599e+00 ,<2     ,0.000e+00 , 00  , 5.5995, <2    , , 0
Qdot_mv ,3.605e-01 ,<0.3   ,0.000e+00 , 00  , 0.3605, <0.3  , , 0
q_mv_sad,1.384e-02 ,<0.00408 ,0.000e+00 , 00  , 0.0138, <0.00408, , 0
PWV     ,5.416e+00 ,>5     ,0.000e+00 , 00  , 5.416, >5    , , 10.0
