GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Fri Oct 23 14:12:52 CEST 2020

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	settings.V_PV_init	settings.heart_drive_D_0_maxAct	settings.heart_drive_D_A_actMax	settings.heart_drive_TS_maxAct	settings.heart_drive_TR_maxAct	settings.tissues_eta_Ra	settings.tissues_eta_C	settings.eta_vc	settings.veins_gamma
1	1	1	5.664123367222645	-1.5E-5	5.765625E-4	14400.0	0.1079	0.095472	3.393633	0.2676726	0.1267	0.734375	Initial point.
11	2	1	2.4896244392807505	-5.0E-6	6.765625E-4	13680.0	0.113295	0.1002456	3.2239513	0.28105623	0.127967	0.734375	Global search reduced cost.
23	3	1	2.3618149930864933	5.0E-6	6.765625E-4	12240.0	0.124085	0.1097928	2.884588	0.30782348	0.129234	0.734375	Global search reduced cost.
35	4	1	2.185134104881525	5.0E-6	6.765625E-4	10080.0	0.12948	0.11934	2.5452247	0.33459073	0.130501	0.734375	Global search reduced cost.
65	5	1	2.185129653662028	5.0E-6	5.765625E-4	10080.0	0.12948	0.11934	2.5452247	0.33459073	0.130501	0.734375	Local search reduced cost.
80	6	1	2.1851248026733643	5.0E-6	4.765625E-4	10080.0	0.12948	0.11934	2.5452247	0.33459073	0.130501	0.734375	Global search reduced cost.
100	7	1	2.1851191295111567	5.0E-6	2.765625E-4	10080.0	0.12948	0.11934	2.5452247	0.33459073	0.130501	0.734375	Global search reduced cost.
100	8	1	2.1851191295111567	5.0E-6	2.765625E-4	10080.0	0.12948	0.11934	2.5452247	0.33459073	0.130501	0.734375	Iteration step did not reduce cost. Reduce step size to '0.5'.
143	9	1	2.181601249611356	5.0E-6	2.265625E-4	10080.0	0.12948	0.1169532	2.5452247	0.33459073	0.130501	0.734375	Global search reduced cost.
171	10	1	2.181593437448578	5.0E-6	1.765625E-4	10080.0	0.12948	0.1169532	2.5452247	0.33459073	0.130501	0.734375	Local search reduced cost.
171	11	1	2.181593437448578	5.0E-6	1.765625E-4	10080.0	0.12948	0.1169532	2.5452247	0.33459073	0.130501	0.734375	Iteration step did not reduce cost. Reduce step size to '0.25'.
171	12	1	2.181593437448578	5.0E-6	1.765625E-4	10080.0	0.12948	0.1169532	2.5452247	0.33459073	0.130501	0.734375	Iteration step did not reduce cost. Reduce step size to '0.125'.
219	13	1	2.171677267745907	5.0E-6	1.765625E-4	9990.0	0.12880562	0.1163565	2.5452247	0.3362637	0.13034262	0.734375	Global search reduced cost.
234	14	1	2.1679070735865253	5.0E-6	1.890625E-4	9900.0	0.12745686	0.1151631	2.5452247	0.33793667	0.13002585	0.734375	Global search reduced cost.
249	15	1	2.1048965026519904	6.25E-6	2.140625E-4	9810.0	0.12543373	0.113373	2.5452247	0.33960965	0.12955071	0.734375	Global search reduced cost.
257	16	1	2.0785778367632872	6.25E-6	2.515625E-4	9630.0	0.12273622	0.1115829	2.5452247	0.34128264	0.12907557	0.734375	Global search reduced cost.
285	17	1	2.078575206879023	6.25E-6	2.640625E-4	9630.0	0.12273622	0.1115829	2.5452247	0.34128264	0.12907557	0.734375	Local search reduced cost.
303	18	1	2.07857426664817	6.25E-6	2.890625E-4	9630.0	0.12273622	0.1115829	2.5452247	0.34128264	0.12907557	0.734375	Global search reduced cost.
303	19	1	2.07857426664817	6.25E-6	2.890625E-4	9630.0	0.12273622	0.1115829	2.5452247	0.34128264	0.12907557	0.734375	Iteration step did not reduce cost. Reduce step size to '0.0625'.
346	20	1	2.0782231237566693	6.25E-6	2.828125E-4	9630.0	0.12273622	0.11128455	2.5452247	0.34128264	0.12907557	0.734375	Global search reduced cost.
367	21	1	2.0750841863445957	6.25E-6	2.765625E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.12899639	0.734375	Global search reduced cost.
400	22	1	2.0749869311647697	6.25E-6	2.703125E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Local search reduced cost.
422	23	1	2.0749864379707557	6.25E-6	2.765625E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Local search reduced cost.
436	24	1	2.074985460503011	6.25E-6	2.828125E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Global search reduced cost.
456	25	1	2.0749833791426506	6.25E-6	2.953125E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Global search reduced cost.
456	26	1	2.0749833791426506	6.25E-6	2.953125E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Iteration step did not reduce cost. Maximum number of step reductions reached.
456	26	1	2.0749833791426506	6.25E-6	2.953125E-4	9585.0	0.12239903	0.11068785	2.5452247	0.34211913	0.1289172	0.734375	Minimum point.
