baseline_bp_val,baseline_bp_trg, %,  baseline_hr_val,baseline_hr_trg, %,  baseline_pp_val,baseline_pp_trg, %,  ph1_peak_val,ph1_peak_trg, %,  ph2_mean_min_val,ph2_mean_min_trg, %,  ph2_max_val,ph2_max_trg, %,  ph4_drop_val,ph4_drop_trg, %,  ph4_ovrshoot_val,ph4_ovrshoot_trg, %,  ph5_recovery_val,ph5_recovery_trg, %,  ph1_hr_min_val,ph1_hr_min_trg, %,  ph4_hr_max_val,ph4_hr_max_trg, %,  ph4_hr_drop_val,ph4_hr_drop_trg, %,  ph5_hr_recovery_val,ph5_hr_recovery_trg, %,  t_ph1_peak_val,t_ph1_peak_trg, %,  t_ph2_mean_min_val,t_ph2_mean_min_trg, %,  t_ph2_max_val,t_ph2_max_trg, %,  t_ph4_drop_val,t_ph4_drop_trg, %,  t_ph4_ovrshoot_val,t_ph4_ovrshoot_trg, %,  t_ph1_hr_min_val,t_ph1_hr_min_trg, %,  t_ph4_hr_max_val,t_ph4_hr_max_trg, %,  t_ph4_hr_drop_val,t_ph4_hr_drop_trg, %,  pp_ph2_mean_min_val,pp_ph2_mean_min_trg, %,  pp_ph2_max_val,pp_ph2_max_trg, %,  pp_ph4_drop_val,pp_ph4_drop_trg, %,  SV_min_valsalva_val,SV_min_valsalva_trg, %,  SV_min_midValsalva_val,SV_min_midValsalva_trg, %,  SV_min_recovery_val,SV_min_recovery_trg, %  ,run, datetime, total_costs
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.179e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.794e-01,1.046e+00,00,  1.055e+00,1.146e+00,00,  8.107e-01,9.703e-01,01,  1.289e+00,1.113e+00,01,  9.528e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.533e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.430e+00,6.379e+00,05,  -8.800e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.140e+00,3.630e+00,04,  0.000e+00,2.092e+00,21,  9.600e-01,2.253e+00,07,  3.710e+00,6.501e+00,04,  3.152e-01,8.576e-01,09,  3.291e-01,6.536e-01,05,  4.609e-01,7.882e-01,04,  2.273e+01,>25.000  ,00,  6.115e+01,>60.000  ,00,  3.254e+01,>60.000  ,04  ,002,2020-10-23 14:14:19, 4.704038e+00
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.179e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.794e-01,1.046e+00,00,  1.055e+00,1.146e+00,00,  8.107e-01,9.703e-01,01,  1.289e+00,1.113e+00,01,  9.528e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.533e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.430e+00,6.379e+00,05,  -8.800e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.140e+00,3.630e+00,04,  0.000e+00,2.092e+00,21,  9.600e-01,2.253e+00,07,  3.710e+00,6.501e+00,04,  3.152e-01,8.576e-01,09,  3.291e-01,6.536e-01,05,  4.609e-01,7.882e-01,04,  2.273e+01,>25.000  ,00,  6.115e+01,>60.000  ,00,  3.254e+01,>60.000  ,04  ,003,2020-10-23 14:15:01, 4.704028e+00
9.443e+01,1.158e+02,00,  6.357e+01,7.011e+01,00,  4.186e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.802e-01,1.046e+00,00,  1.055e+00,1.146e+00,00,  8.123e-01,9.703e-01,01,  1.291e+00,1.113e+00,01,  9.526e-01,1.008e+00,00,  9.935e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.631e-01,8.372e-01,00,  9.875e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.430e+00,6.379e+00,05,  -8.800e-01,-2.708e+00,10,  3.600e-01,9.885e-01,08,  2.150e+00,3.630e+00,03,  0.000e+00,2.092e+00,21,  9.700e-01,2.253e+00,07,  3.740e+00,6.501e+00,04,  3.218e-01,8.576e-01,08,  3.457e-01,6.536e-01,05,  4.661e-01,7.882e-01,04,  2.276e+01,>25.000  ,00,  6.133e+01,>60.000  ,00,  2.554e+01,>60.000  ,07  ,004,2020-10-23 14:15:44, 4.764213e+00
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.172e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.796e-01,1.046e+00,00,  1.056e+00,1.146e+00,00,  8.119e-01,9.703e-01,01,  1.280e+00,1.113e+00,00,  9.531e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.344e-01,8.372e-01,00,  9.830e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.420e+00,6.379e+00,05,  -8.900e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.130e+00,3.630e+00,04,  0.000e+00,2.092e+00,22,  9.500e-01,2.253e+00,07,  3.680e+00,6.501e+00,04,  3.163e-01,8.576e-01,09,  3.311e-01,6.536e-01,05,  4.503e-01,7.882e-01,04,  2.276e+01,>25.000  ,00,  6.096e+01,>60.000  ,00,  3.852e+01,>60.000  ,03  ,005,2020-10-23 14:16:28, 4.625582e+00
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.173e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.795e-01,1.046e+00,00,  1.055e+00,1.146e+00,00,  8.110e-01,9.703e-01,01,  1.279e+00,1.113e+00,00,  9.524e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.344e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.420e+00,6.379e+00,05,  -8.900e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.130e+00,3.630e+00,04,  0.000e+00,2.092e+00,22,  9.500e-01,2.253e+00,07,  3.670e+00,6.501e+00,04,  3.155e-01,8.576e-01,09,  3.273e-01,6.536e-01,05,  4.488e-01,7.882e-01,04,  2.273e+01,>25.000  ,00,  6.096e+01,>60.000  ,00,  4.058e+01,>60.000  ,02  ,006,2020-10-23 14:17:11, 4.612595e+00
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.173e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.794e-01,1.046e+00,00,  1.055e+00,1.146e+00,00,  8.105e-01,9.703e-01,01,  1.279e+00,1.113e+00,00,  9.523e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.344e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.420e+00,6.379e+00,05,  -8.900e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.130e+00,3.630e+00,04,  0.000e+00,2.092e+00,22,  9.500e-01,2.253e+00,07,  3.670e+00,6.501e+00,04,  3.152e-01,8.576e-01,09,  3.272e-01,6.536e-01,05,  4.478e-01,7.882e-01,04,  2.271e+01,>25.000  ,00,  6.096e+01,>60.000  ,00,  4.149e+01,>60.000  ,02  ,007,2020-10-23 14:17:54, 4.605020e+00
9.443e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.173e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.819e-01,1.046e+00,00,  1.060e+00,1.146e+00,00,  8.161e-01,9.703e-01,01,  1.284e+00,1.113e+00,01,  9.528e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.437e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,16,  9.430e+00,6.379e+00,05,  -8.900e-01,-2.708e+00,10,  3.500e-01,9.885e-01,09,  2.140e+00,3.630e+00,04,  0.000e+00,2.092e+00,21,  9.600e-01,2.253e+00,07,  3.700e+00,6.501e+00,04,  3.102e-01,8.576e-01,09,  3.286e-01,6.536e-01,05,  4.573e-01,7.882e-01,04,  2.242e+01,>25.000  ,00,  6.094e+01,>60.000  ,00,  3.566e+01,>60.000  ,04  ,008,2020-10-23 14:18:37, 4.662841e+00
9.444e+01,1.158e+02,00,  6.357e+01,7.011e+01,00,  4.172e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.766e-01,1.046e+00,00,  1.050e+00,1.146e+00,00,  8.331e-01,9.703e-01,01,  1.273e+00,1.113e+00,01,  9.523e-01,1.008e+00,00,  1.004e+00,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.345e-01,8.372e-01,00,  9.855e-01,9.457e-01,00,  1.800e-01,1.398e+00,00,  9.420e+00,6.379e+00,06,  -9.000e-01,-2.708e+00,12,  3.400e-01,9.885e-01,11,  2.120e+00,3.630e+00,05,  0.000e+00,2.092e+00,27,  9.400e-01,2.253e+00,09,  3.660e+00,6.501e+00,05,  3.243e-01,8.576e-01,10,  3.472e-01,6.536e-01,06,  5.077e-01,7.882e-01,03,  2.304e+01,>25.000  ,00,  6.098e+01,>60.000  ,00,  4.120e+01,>60.000  ,03  ,009,2020-10-23 14:19:21, 3.754544e+00
9.444e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.172e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.780e-01,1.046e+00,00,  1.056e+00,1.146e+00,00,  8.394e-01,9.703e-01,01,  1.276e+00,1.113e+00,01,  9.527e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.600e+00,1.346e+00,01,  9.344e-01,8.372e-01,00,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,00,  9.420e+00,6.379e+00,08,  -9.000e-01,-2.708e+00,16,  3.400e-01,9.885e-01,16,  2.130e+00,3.630e+00,06,  0.000e+00,2.092e+00,00,  9.500e-01,2.253e+00,12,  3.670e+00,6.501e+00,07,  3.262e-01,8.576e-01,14,  3.503e-01,6.536e-01,08,  5.129e-01,7.882e-01,04,  2.340e+01,>25.000  ,00,  6.096e+01,>60.000  ,00,  4.228e+01,>60.000  ,03  ,010,2020-10-23 14:20:04, 2.717642e+00
9.444e+01,1.158e+02,00,  6.358e+01,7.011e+01,00,  4.172e+01,5.684e+01,00,  1.194e+00,1.155e+00,00,  9.782e-01,1.046e+00,00,  1.056e+00,1.146e+00,00,  8.384e-01,9.703e-01,01,  1.281e+00,1.113e+00,01,  9.527e-01,1.008e+00,00,  9.934e-01,9.517e-01,00,  1.627e+00,1.346e+00,02,  9.344e-01,8.372e-01,01,  9.853e-01,9.457e-01,00,  1.800e-01,1.398e+00,00,  9.420e+00,6.379e+00,09,  -9.000e-01,-2.708e+00,18,  3.400e-01,9.885e-01,17,  2.120e+00,3.630e+00,07,  0.000e+00,2.092e+00,00,  1.540e+00,2.253e+00,04,  3.670e+00,6.501e+00,08,  3.266e-01,8.576e-01,15,  3.510e-01,6.536e-01,09,  5.122e-01,7.882e-01,05,  2.340e+01,>25.000  ,00,  6.096e+01,>60.000  ,00,  4.276e+01,>60.000  ,03  ,011,2020-10-23 14:20:47, 2.489624e+00
