f_LV, vol, time, eGFR, p_int, HR, CO, CVP, EF, maxBP, compensated
100, 88.41000817483291, 236.82000732421875, 90.63059997558594, 10.57889389592256, 64.00000333786011, 5.874258640687913, 4.361542453520658, 0.6022418141365051, 105.49884777315447, True
90, 90.2900064829737, 240.5800018310547, 90.54796600341797, 10.57705993876667, 64.00000333786011, 5.874366906937212, 4.358802505048867, 0.5838832855224609, 121.19751370272724, True
80, 97.32000762596726, 254.63999938964844, 90.4164047241211, 10.576492263561153, 64.00000333786011, 5.87414251640439, 4.3576818043205545, 0.5580035448074341, 126.29223386331589, True
70, 113.7300132540986, 287.4599914550781, 90.18407440185547, 10.577744811433972, 64.00000333786011, 5.873650516150519, 4.358130908656532, 0.519245445728302, 111.23263104316992, True
60, 150.29001224320382, 360.5799865722656, 89.71097564697266, 10.5809320330314, 64.00000333786011, 5.8724425616674125, 4.360046354672569, 0.4551917314529419, 98.74343225424161, True
50, 746.8200055882335, 806.8200073242188, 84.3576889038086, 10.778491244998012, 64.00000333786011, 5.848232394782826, 4.571047108340147, 0.36133843660354614, 99.8773250218456, True
45, 2596.520120278001, 2656.52001953125, 48.688148498535156, 21.948044783025306, 64.00000333786011, 5.050201871199533, 18.35317378930334, 0.31103888154029846, 99.57014314966771, True
40, 3422.460053116083, 3482.4599609375, -10.599355697631836, 39.1581807402848, 64.00000333786011, 3.814622468780726, 38.51211508251639, 0.24731682240962982, 99.46822530696359, True
35, 3859.640099108219, 1919.6400146484375, -54.860382080078125, 51.63036026030962, 64.00000333786011, 2.919836188084446, 52.31298420131336, 0.19726265966892242, 99.3131584153403, True
30, 4217.760171741247, 2277.760009765625, -76.9158935546875, 58.17681270486116, 64.00000333786011, 2.4523372849216685, 59.58852205562473, 0.16748233139514923, 99.21753261136571, True
25, 4369.639791548252, 2429.639892578125, -85.30706024169922, 60.802013874304315, 64.00000333786011, 2.265999501105398, 62.531826435715786, 0.15477275848388672, 99.17770012404179, True
20, 4457.760136574507, 2517.760009765625, -89.9525146484375, 62.287154759717076, 64.00000333786011, 2.1593039855360985, 64.21019663624533, 0.14738304913043976, 99.16454470895651, True
15, 4529.959987848997, 2589.9599609375, -93.66730499267578, 63.510820783047805, 64.00000333786011, 2.0726462389575318, 65.58808719444278, 0.14139825105667114, 99.14200617208712, True
10, 4594.639874994755, 2654.639892578125, -96.91804504394531, 64.594428514705, 64.00000333786011, 1.9950619025621563, 66.81986181716071, 0.1360466480255127, 99.12340107502888, True
5, 4655.580036342144, 2715.580078125, -99.90201568603516, 65.61301362959601, 64.00000333786011, 1.9223825074732304, 67.97533356741573, 0.13103611767292023, 99.1142596730097, True
