f_LV, vol [L], time [s], eGFR, p_int, HR, CO [L/min], CVP, PCWP (mmHg), EF, EDV ml, maxBP, Qlymph [L/day], Relative change to interstitial volume,Excess interstitial volume [L], ESP, EDP, compensated
10.0, 0.5654999986290932, 625.5, 91.96338653564453, 10.62006682921564, 63.01108360290527, 5.649427621392533, 5.76927349981975, 15.044574076882473, 58.35450887680054, 155.43315385002643, 99.01787208553351, 4.165861025740014, 1.0022222995758057,0.15555247955489904, 7.587752808109783, 17.658469353684126, True
11.0, 0.6137000164017081, 673.7000122070312, 91.45177459716797, 10.757719826107094, 63.03641080856323, 5.638580914819613, 5.931782430266338, 15.565106603397226, 58.75697135925293, 153.9992808829993, 98.97379851506128, 4.143616649798787, 1.0026839971542358,0.18787305452860892, 8.013478081672098, 18.593749047770622, True
12.0, 0.6617999752052128, 721.7999877929688, 90.90064239501953, 10.908124456203778, 63.06307554244995, 5.626796482829377, 6.109212520368919, 16.088279735222805, 59.144824743270874, 152.59829524438828, 98.938639276526, 4.118877041037194, 1.0031934976577759,0.22354102111421525, 8.430181897492536, 19.561087741286133, True
13.0, 0.7096999906934798, 769.7000122070312, 90.37271881103516, 11.065847518425784, 63.09040546417236, 5.614024994429201, 6.30392145344073, 16.565485825084195, 59.50522422790527, 151.18841838557273, 98.87530869811434, 4.087396098384488, 1.0037331581115723,0.2613257383927703, 8.835136667769104, 20.548089971436635, True
14.0, 0.7566999993287027, 816.7000122070312, 89.75224304199219, 11.240871855943693, 63.119187355041504, 5.599611176876351, 6.511164105687264, 17.113546936645864, 59.84591841697693, 149.8577621532604, 98.83324213417515, 4.0552963355366956, 1.0043392181396484,0.30374544439837337, 9.227800354241047, 21.566896662778834, True
15.0, 0.804400013294071, 864.4000244140625, 89.1824722290039, 11.42729181540978, 63.14706802368164, 5.585031467489898, 6.7448530976695515, 17.58687635421667, 60.22865176200867, 148.52220192551613, 98.77582270274223, 4.015928197986796, 1.004992127418518,0.3494487318675965, 9.623769375377375, 22.59746521813729, True
16.0, 0.8521000272594392, 912.0999755859375, 88.52711486816406, 11.638760901121907, 63.17502737045288, 5.569710920099169, 7.00075238206771, 18.11817273511217, 60.5362594127655, 147.3118318244815, 98.72109881293035, 3.973591810790822, 1.0057427883148193,0.4019960470031947, 10.024606669203601, 23.656098903172396, True
17.0, 0.8986999746412039, 958.7000122070312, 87.8889389038086, 11.858833013013138, 63.204345703125, 5.5531872203573585, 7.277491755744551, 18.61552030750739, 60.8212947845459, 146.06572221964598, 98.67147301270607, 3.9233317011166946, 1.0065350532531738,0.4574559861794114, 10.426488668529013, 24.713375661345275, True
18.0, 0.9433000232093036, 1003.2999877929688, 87.25358581542969, 12.083183747864663, 63.23664665222168, 5.535110249184072, 7.566419665446953, 19.10483069771868, 61.15747690200806, 144.75428906735033, 98.60974657455259, 3.8661801568196097, 1.0073546171188354,0.5148211494088173, 10.821431296269557, 25.763428294725365, True
19.0, 0.9877999546006322, 1047.800048828125, 86.59711456298828, 12.326473775661556, 63.26847553253174, 5.517259851330891, 7.881883644191787, 19.57363519453841, 61.41467094421387, 143.55902385432273, 98.56283096563207, 3.8039402284084645, 1.0082569122314453,0.577978789806366, 11.222907682504575, 26.828291757338437, True
20.0, 1.030400046147406, 1090.4000244140625, 85.8988037109375, 12.578782514384816, 63.30253601074219, 5.4985568567644805, 8.203042229292615, 20.08134009261881, 61.67482137680054, 142.4070360371843, 98.5145016623288, 3.7380475419013237, 1.0092073678970337,0.6445164326578379, 11.61606488016325, 27.894982767871205, True
21.0, 1.0710000060498714, 1131.0, 85.21842956542969, 12.830240655904971, 63.33892107009888, 5.479158426169306, 8.53032987540269, 20.55637253580617, 61.96064352989197, 141.2183919455856, 98.46647267752134, 3.666144993985654, 1.0101699829101562,0.7119008805602789, 11.998198191572845, 28.951516054645893, True
22.0, 1.110499957576394, 1170.5, 84.57709503173828, 13.079461973994352, 63.37592840194702, 5.459877866087481, 8.870179624447765, 20.963838811064566, 62.20982074737549, 140.03443357069045, 98.41838509398299, 3.5967640769740683, 1.0111392736434937,0.7797458092682064, 12.376760642818702, 30.00164926128096, True
23.0, 1.1482000118121505, 1208.199951171875, 83.8530502319336, 13.341315896616837, 63.41543197631836, 5.440113163786009, 9.203877422354337, 21.461845619182316, 62.453317642211914, 138.9350218232721, 98.39432299011041, 3.5162744779881905, 1.0121734142303467,0.8521397248841822, 12.74049486833334, 31.054053168738093, True
24.0, 1.1848000576719642, 1244.800048828125, 83.18119812011719, 13.593927700651431, 63.455443382263184, 5.420620873337612, 9.541942656922712, 21.88775218256833, 62.65261173248291, 137.83790927845985, 98.34367171209553, 3.4432951338203566, 1.0131868124008179,0.9230794385075569, 13.098324356105424, 32.09709226651453, True
25.0, 1.2203999795019627, 1280.4000244140625, 82.50868225097656, 13.846631065203042, 63.49590539932251, 5.401455564424396, 9.887443521078199, 22.29910062374833, 62.915295362472534, 136.78106188308448, 98.31574941682543, 3.37124862426208, 1.0142161846160889,0.995138892903924, 13.449799543996395, 33.13459744664234, True
26.0, 1.2541000032797456, 1314.0999755859375, 81.83041381835938, 14.096791794197038, 63.5388708114624, 5.381906958064064, 10.210668627048143, 22.7390049589762, 63.10088038444519, 135.72187162935734, 98.28390100658555, 3.287737058599305, 1.015250563621521,1.0675403755158186, 13.781795231891586, 34.15963574677285, True
