# Cost, param, run # with mean of 0.008
0.003497, heart_atr_D_A+, 35
0.004223, pulm_q_nom_maxq+, 31
0.004257, V_PV_init+, 2
0.004259, heart_R_vlv+, 3
0.004264, V_PV_init-, 1
0.004316, pulm_q_nom_maxq-, 32
0.004331, heart_R_vlv-, 4
0.004347, pulm_C_PA+, 27
0.004352, pulm_C_PA-, 28
0.004455, pulm_R-, 30
0.004504, pulm_R+, 29
0.004571, pulm_C_PV+, 25
0.004743, pulm_C_PV-, 26
0.004750, heart_R_LA-, 6
0.004818, heart_R_LA+, 5
0.007292, heart_drive_D_0-, 8
0.007733, veins_gamma-, 24
0.007766, heart_drive_atr_D_0-, 34
0.007862, veins_gamma+, 23
0.008303, syst_art_k_E+, 21
0.008507, heart_drive_D_0+, 7
0.009014, syst_art_k_E-, 22
0.010310, syst_TR_frac+, 19
0.011474, syst_TR_frac-, 20
0.014667, heart_drive_atr_D_0+, 33
0.014986, heart_atr_D_A-, 36
0.019953, heart_drive_D_A-, 10
0.022340, syst_TPR+, 17
0.023611, syst_TPR-, 18
0.028911, heart_vntr_L0+, 15
0.080933, heart_vntr_xi_AmRef-, 12
0.108420, heart_vntr_xi_AmRef+, 11
0.240384, heart_vntr_Lsref+, 13
0.600203, heart_vntr_Lsref-, 14
9.487032, heart_drive_D_A+, 9
9.502296, heart_vntr_L0-, 16
